days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-05,6.75,NaN,NaN
2020-03-06,8.75,NaN,NaN
2020-03-07,9.5,11.285714285714286,NaN
2020-03-08,15.0,16.0,NaN
2020-03-09,22.5,20.571428571428573,NaN
2020-03-10,29.25,29.571428571428573,NaN
2020-03-11,43.75,39.57142857142857,NaN
2020-03-12,56.25,51.42857142857143,98.88459175224351
2020-03-13,70.75,64.71428571428571,125.30566932607326
2020-03-14,86.75,75.28571428571429,162.09546887399634
2020-03-15,95.0,89.42857142857143,162.04129377608507
2020-03-16,109.75,102.85714285714286,173.99221968466094
2020-03-17,119.25,114.85714285714286,184.90733080380147
2020-03-18,131.5,122.85714285714286,183.52880693087778
2020-03-19,139.5,130.28571428571428,181.36551055141223
2020-03-20,142.25,136.0,175.94908488895348
2020-03-21,144.75,138.28571428571428,169.58903869172156
2020-03-22,136.0,141.57142857142858,161.5350480900348
2020-03-23,142.5,140.57142857142858,158.5083860494799
2020-03-24,137.25,139.85714285714286,149.40949928706868
2020-03-25,138.25,139.0,142.90967515239072
2020-03-26,140.75,137.14285714285714,139.53046722873634
2020-03-27,134.5,135.85714285714286,133.8814705101855
2020-03-28,136.5,132.0,132.50438775334626
2020-03-29,122.25,128.42857142857142,126.01977532114078
2020-03-30,124.0,128.0,120.98613766626512
2020-03-31,121.25,128.14285714285714,121.32222182649011
2020-04-01,124.75,131.28571428571428,122.6138987144037
2020-04-02,139.5,134.14285714285714,130.7983399345174
2020-04-03,144.5,130.0,138.22518562112802
2020-04-04,140.0,128.14285714285714,131.37518798402155
2020-04-05,122.25,124.0,128.14285714285714
2020-04-06,111.25,124.0,118.25409727581749
2020-04-07,103.5,119.85714285714286,115.66290819235805
2020-04-08,107.0,110.85714285714286,112.0765044582461
2020-04-09,109.25,100.57142857142857,100.00996627589988
2020-04-10,103.5,94.85714285714286,87.86009017211049
2020-04-11,89.0,95.28571428571429,78.38911340646152
2020-04-12,79.25,86.14285714285714,78.75194357513406
2020-04-13,68.0,77.85714285714286,69.26790033662884
2020-04-14,63.75,67.57142857142857,62.89782432522577
2020-04-15,59.25,65.42857142857143,52.47916421251241
2020-04-16,57.0,61.142857142857146,49.59004198417667
2020-04-17,59.75,56.714285714285715,48.96240875767594
