days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,68.0,NaN,NaN
2020-03-05,86.75,NaN,NaN
2020-03-06,113.25,102.0,NaN
2020-03-07,134.25,132.57142857142858,NaN
2020-03-08,174.25,188.85714285714286,NaN
2020-03-09,258.25,258.42857142857144,NaN
2020-03-10,358.5,346.0,NaN
2020-03-11,495.0,436.42857142857144,818.2309276592035
2020-03-12,618.5,536.4285714285714,1021.2168003694054
2020-03-13,721.5,630.8571428571429,1183.7824400724453
2020-03-14,786.0,718.0,1315.451091737322
2020-03-15,825.25,813.1428571428571,1355.7208436113822
2020-03-16,917.5,874.8571428571429,1382.5618668442216
2020-03-17,950.75,925.4285714285714,1323.6929216907188
2020-03-18,1010.5,951.2857142857143,1257.884546740234
2020-03-19,1026.75,983.1428571428571,1183.212377444522
2020-03-20,1019.0,985.4285714285714,1141.1118844707573
2020-03-21,979.5,964.8571428571429,1084.0050870166358
2020-03-22,894.25,943.8571428571429,999.2355199805445
2020-03-23,904.5,915.0,938.0389812426564
2020-03-24,831.5,883.8571428571429,863.0425752857936
2020-03-25,832.75,862.2857142857143,813.1326341454651
2020-03-26,847.25,828.2857142857143,794.7669996543445
2020-03-27,816.75,816.1428571428571,754.4034055297507
2020-03-28,806.5,805.8571428571429,751.7155709630206
2020-03-29,757.75,798.1428571428571,750.1943470282141
2020-03-30,792.25,796.1428571428571,754.4382303923404
2020-03-31,775.25,800.2857142857143,772.5105943312838
2020-04-01,805.0,803.8571428571429,788.7999613973014
2020-04-02,843.75,799.2857142857143,802.4611735583959
2020-04-03,818.75,777.4285714285714,800.1166595516812
2020-04-04,773.75,753.1428571428571,763.7581303200029
2020-04-05,675.25,706.5714285714286,716.1206257346324
2020-04-06,622.0,674.5714285714286,635.6129597644921
2020-04-07,557.0,630.4285714285714,583.0556804389294
2020-04-08,547.75,604.1428571428571,532.9646779117365
2020-04-09,583.0,561.4285714285714,517.4016777825174
2020-04-10,564.75,563.5714285714286,482.34655114059245
2020-04-11,579.5,548.8571428571429,500.8309256641093
2020-04-12,532.5,513.4285714285714,496.19532665081766
2020-04-13,463.25,481.42857142857144,451.80249124725316
2020-04-14,417.0,459.14285714285717,424.077658366282
2020-04-15,365.0,428.2857142857143,383.628461216335
2020-04-16,372.0,415.2857142857143,352.3237003034272
2020-04-17,393.0,370.57142857142856,356.13946826252635
2020-04-18,385.5,355.14285714285717,315.3490006364887
2020-04-19,350.5,348.0,299.0791144975584
2020-04-20,322.75,342.2857142857143,298.17488847871107
2020-04-21,289.25,332.42857142857144,291.4819453979899
2020-04-22,298.25,316.57142857142856,304.3842827077715
2020-04-23,304.5,290.14285714285717,290.58766565312607
2020-04-24,291.75,283.57142857142856,256.5032209485391
2020-04-25,282.75,263.42857142857144,249.33995382221823
2020-04-26,229.75,249.28571428571428,219.23486018089267
2020-04-27,205.0,225.28571428571428,204.12670680054006
2020-04-28,175.75,204.0,180.61973035893843
2020-04-29,159.0,191.57142857142858,154.43715553425696
2020-04-30,178.75,175.57142857142858,153.35760632801015
2020-05-01,162.75,149.42857142857142,137.70988869449576
2020-05-02,150.0,143.71428571428572,116.77502607400325
2020-05-03,124.25,132.71428571428572,110.39053192980171
2020-05-04,102.0,128.71428571428572,97.43887450112955
2020-05-05,93.75,118.42857142857143,97.21701099903366
2020-05-06,104.75,107.14285714285714,98.84916848087808
2020-05-07,114.75,112.57142857142857,90.43741507812383
2020-05-08,127.5,115.42857142857143,102.6313453063683
2020-05-09,126.75,112.71428571428571,107.9646869256921
2020-05-10,114.25,109.28571428571429,108.78222014761734
2020-05-11,105.75,107.42857142857143,111.00851804311856
2020-05-12,84.75,104.71428571428571,102.79269013105709
2020-05-13,86.0,95.57142857142857,96.00408195617221
2020-05-14,84.75,81.71428571428571,83.7490720370865
