days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,8.25,NaN,NaN
2020-03-05,11.0,NaN,NaN
2020-03-06,18.75,17.285714285714285,NaN
2020-03-07,25.75,21.571428571428573,NaN
2020-03-08,30.75,29.285714285714285,NaN
2020-03-09,41.25,39.142857142857146,NaN
2020-03-10,52.0,49.714285714285715,NaN
2020-03-11,65.0,65.0,116.99267153756932
2020-03-12,87.0,79.57142857142857,155.05494304735353
2020-03-13,106.75,97.71428571428571,167.78804774685582
2020-03-14,128.25,118.42857142857143,194.39648376959403
2020-03-15,151.0,137.42857142857142,233.10774604601218
2020-03-16,168.0,152.0,249.58061056213302
2020-03-17,178.75,161.57142857142858,256.89213972931447
2020-03-18,176.75,160.57142857142858,247.0424793060469
2020-03-19,160.75,161.0,208.91960453711883
2020-03-20,148.0,154.71428571428572,185.39596154968694
2020-03-21,133.0,142.42857142857142,157.1905547851165
2020-03-22,117.5,135.85714285714286,127.51958097896912
2020-03-23,124.75,127.85714285714286,119.48218694024965
2020-03-24,120.75,122.71428571428571,108.32082621729569
2020-03-25,120.75,123.14285714285714,104.80783325777853
2020-03-26,127.0,122.71428571428571,111.77507016616958
2020-03-27,125.0,120.42857142857143,114.34944381598697
2020-03-28,120.0,117.28571428571429,115.2713907471028
2020-03-29,108.0,108.71428571428571,113.0552533381101
2020-03-30,99.5,107.57142857142857,98.55310686782263
2020-03-31,94.25,106.57142857142857,96.51440487556705
2020-04-01,96.5,108.85714285714286,96.66685435731013
2020-04-02,112.25,108.57142857142857,103.38628834811551
2020-04-03,124.75,107.0,108.48572838343773
2020-04-04,119.0,110.14285714285714,106.63817273019747
2020-04-05,114.25,114.28571428571429,112.80652285384205
2020-04-06,109.0,116.0,118.90828998044935
2020-04-07,107.25,115.71428571428571,122.71847021968684
2020-04-08,111.75,109.42857142857143,123.32936789461233
2020-04-09,111.0,99.85714285714286,108.90779240454715
2020-04-10,99.5,94.57142857142857,90.81154092922586
2020-04-11,81.5,88.85714285714286,80.14671047185139
2020-04-12,67.25,79.0,70.19446346699237
2020-04-13,55.75,68.0,58.51250165581001
2020-04-14,51.5,59.142857142857146,49.11844075214271
2020-04-15,49.75,54.42857142857143,41.93652425673974
2020-04-16,50.75,57.285714285714285,39.78468578979078
2020-04-17,61.5,54.142857142857146,47.76018332227134
2020-04-18,57.25,49.142857142857146,47.09563615657495
2020-04-19,49.75,48.285714285714285,43.40804805876468
2020-04-20,45.0,47.142857142857146,44.018224934084365
2020-04-21,33.75,46.0,39.09338073221524
2020-04-22,35.5,43.42857142857143,39.61890891766957
2020-04-23,40.75,35.714285714285715,39.510260897244166
2020-04-24,39.5,35.57142857142857,30.32462125076284
2020-04-25,37.0,34.857142857142854,29.95685207369335
2020-04-26,30.25,32.42857142857143,28.099841944847576
2020-04-27,25.75,28.857142857142858,25.339559363311952
2020-04-28,21.75,28.142857142857142,23.74136029100861
2020-04-29,22.5,24.857142857142858,23.002159785175568
2020-04-30,23.25,21.428571428571427,19.68919295630258
2020-05-01,20.25,17.714285714285715,16.34524268360968
2020-05-02,17.5,16.571428571428573,13.284118144929831
2020-05-03,10.0,14.714285714285714,10.01163978269172
2020-05-04,8.0,14.714285714285714,8.62338034228316
2020-05-05,10.0,12.0,10.376024656383407
2020-05-06,12.5,11.285714285714286,9.59972432149118
2020-05-07,14.0,12.0,9.677550970590733
2020-05-08,15.5,11.714285714285714,11.05676583697992
2020-05-09,12.25,11.285714285714286,10.163187955466851
2020-05-10,8.75,11.142857142857142,10.645641484020947
2020-05-11,7.75,9.0,10.99482973001214
2020-05-12,4.75,8.285714285714286,6.513657973233237
2020-05-13,6.5,6.857142857142857,6.208172220490675
2020-05-14,6.25,5.428571428571429,4.945326762274935
2020-05-15,5.5,5.0,3.792205404176076
2020-05-16,5.25,4.714285714285714,3.7149951761038698
2020-05-17,2.5,4.285714285714286,2.653272794037785
2020-05-18,3.25,4.142857142857143,2.9240851035977604
2020-05-19,2.5,4.0,3.1199108178315194
2020-05-20,4.75,3.7142857142857144,3.5843512110596643
2020-05-21,4.5,3.857142857142857,3.324430192472165
2020-05-22,4.75,3.857142857142857,3.6647074032286584
2020-05-23,4.75,3.857142857142857,3.7227999617115626
2020-05-24,2.25,3.2857142857142856,3.698587473587735
2020-05-25,2.5,3.7142857142857144,2.9271022035370757
2020-05-26,2.25,2.2857142857142856,3.559071347869377
2020-05-27,2.0,2.857142857142857,1.600277332220594
2020-05-28,2.75,2.4285714285714284,2.331860554419226
2020-05-29,3.25,2.5714285714285716,2.1938279211598073
2020-05-30,2.75,2.857142857142857,2.096869047970723
2020-05-31,3.25,3.142857142857143,3.334864121210319
2020-06-01,3.0,3.142857142857143,3.402156355011908
2020-06-02,3.5,4.285714285714286,3.794510591704431
2020-06-03,5.0,4.285714285714286,6.3496497491801325
2020-06-04,5.25,4.428571428571429,5.613991510442766
2020-06-05,5.5,4.857142857142857,5.485940515841805
2020-06-06,5.75,4.428571428571429,6.651938646097626
2020-06-07,3.5,4.428571428571429,4.57200406007435
2020-06-08,3.25,4.142857142857143,4.580441273692169
2020-06-09,3.0,3.2857142857142856,3.8753337151744276
2020-06-10,2.25,3.142857142857143,2.2948872421132167
2020-06-11,3.0,3.4285714285714284,2.498182145396437
2020-06-12,3.75,3.2857142857142856,2.9644018049561365
2020-06-13,4.25,4.0,2.999892743500277
2020-06-14,4.75,4.0,4.5283276027840085
2020-06-15,4.75,4.142857142857143,4.675076840663617
2020-06-16,4.25,4.857142857142857,4.815888091672619
2020-06-17,5.0,4.857142857142857,6.820784544761346
2020-06-18,4.5,4.714285714285714,5.782008546635178
2020-06-19,5.0,4.714285714285714,5.332957642789348
2020-06-20,5.25,5.0,5.149245887951976
2020-06-21,5.0,5.571428571428571,5.111507642366134
2020-06-22,6.0,5.714285714285714,6.1529545218433315
2020-06-23,6.0,5.285714285714286,6.62914292123508
2020-06-24,6.0,5.285714285714286,5.69738564403557
2020-06-25,5.0,5.285714285714286,5.533751160348168
2020-06-26,4.5,4.857142857142857,5.046829307582574
2020-06-27,3.75,4.857142857142857,4.185247168912768
2020-06-28,4.25,3.857142857142857,4.523098457319181
2020-06-29,3.5,3.5714285714285716,3.069987939362445
2020-06-30,3.0,3.4285714285714284,2.649448703189827
2020-07-01,3.5,3.142857142857143,2.7765752195972033
2020-07-02,2.0,3.0,2.076501726933303
2020-07-03,3.0,3.2857142857142856,2.5424979606880598
2020-07-04,3.25,3.0,3.0917553233542696
2020-07-05,3.5,3.4285714285714284,2.7916151419969175
2020-07-06,4.0,3.5714285714285716,3.616542282306798
2020-07-07,4.0,3.2857142857142856,4.030153009726967
2020-07-08,3.5,3.142857142857143,3.2857142857142856
2020-07-09,2.25,2.857142857142857,3.3003718461583698
2020-07-10,2.0,2.5714285714285716,2.388851356419173
2020-07-11,1.5,1.8571428571428572,1.8218934959002162
2020-07-12,1.0,1.5714285714285714,1.0451484648848939
2020-07-13,1.25,1.4285714285714286,0.969115810357726
2020-07-14,1.5,1.8571428571428572,1.0270295878575315
2020-07-15,2.25,2.4285714285714284,1.6090367899733309
2020-07-16,3.25,2.5714285714285716,2.7709334801941004
2020-07-17,3.75,3.0,3.1574992926349204
2020-07-18,4.25,3.5714285714285716,4.521940084123452
2020-07-19,4.0,5.142857142857143,6.323456775934605
2020-07-20,6.0,7.428571428571429,9.801322724552344
2020-07-21,10.0,9.428571428571429,16.688215407331505
2020-07-22,13.5,11.285714285714286,20.431773448875333
2020-07-23,16.75,12.428571428571429,22.410558700766938
2020-07-24,16.5,14.142857142857142,23.480973597112186
2020-07-25,16.0,15.428571428571429,24.571429567855553
2020-07-26,14.5,16.0,25.196416782010576
2020-07-27,14.25,15.428571428571429,22.61553113454506
2020-07-28,15.25,16.0,18.516691976291273
2020-07-29,16.75,16.571428571428573,17.549252054248985
2020-07-30,18.75,19.142857142857142,17.351651094205724
2020-07-31,22.0,20.142857142857142,21.565610110251786
2020-08-01,24.25,20.714285714285715,23.880114727779453
2020-08-02,22.75,24.285714285714285,25.121550748209362
2020-08-03,27.75,27.142857142857142,32.30987786475328
2020-08-04,29.25,31.571428571428573,35.92795117210469
2020-08-05,36.75,36.0,44.21061840054905
2020-08-06,45.5,37.142857142857146,52.306128817021026
2020-08-07,44.5,37.57142857142857,50.06816607884274
2020-08-08,42.5,37.857142857142854,47.7543944701304
2020-08-09,33.75,36.857142857142854,44.803272412720794
2020-08-10,29.25,36.142857142857146,37.703907435036044
2020-08-11,27.5,33.285714285714285,35.19009667881246
2020-08-12,29.25,29.857142857142858,30.12062638577538
2020-08-13,31.5,30.142857142857142,25.826287066197263
2020-08-14,32.75,28.428571428571427,26.75235523976451
2020-08-15,29.0,27.857142857142858,24.360972377874198
